"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 10:24:58 EST 2024","Mon Mar 04 10:25:23 EST 2024","24501","","","","Tests","SearchResultsPageTest","SearchResultsPageTest",""
"passed","Mon Mar 04 10:24:57 EST 2024","Mon Mar 04 10:24:58 EST 2024","1413","","","","Tests","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingtoTheIntroPage","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingtoTheIntroPage",""
